# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionsCount,1716626893192000000,1716626927855000000,0
NonBlockingReadAction.failedExecutionTimeUs,1716626893192000000,1716626927855000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1716626893192000000,1716626927855000000,0
NonBlockingReadAction.failedExecutionsCount,1716626893192000000,1716626927855000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1716626893192000000,1716626927855000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1716626893192000000,1716626927855000000,0
workspaceModel.orphan.listener.update.ms,1716626893192000000,1716626927855000000,4
jps.global.handle.before.change.events.ms,1716626893192000000,1716626927855000000,0
jps.load.initial.state.ms,1716626893192000000,1716626927855000000,7
jps.app.storage.content.reader.load.component.ms,1716626893192000000,1716626927855000000,1
jps.app.storage.content.writer.save.component.ms,1716626893192000000,1716626927855000000,0
jps.module.iml.entities.serializer.save.entities.ms,1716626893192000000,1716626927855000000,19
jps.modifiable.module.model.bridge.new.module.ms,1716626893192000000,1716626927855000000,35
jps.project.serializers.save.ms,1716626893192000000,1716626927855000000,37
workspaceModel.global.apply.state.to.project.ms,1716626893192000000,1716626927855000000,0
jps.load.project.to.empty.storage.ms,1716626893192000000,1716626927855000000,35
workspaceModel.sync.entities.ms,1716626893192000000,1716626927855000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1716626893192000000,1716626927855000000,0
workspaceModel.mutableEntityStorage.entities.ms,1716626893192000000,1716626927855000000,4
workspaceModel.moduleBridge.update.option.ms,1716626893192000000,1716626927855000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1716626893192000000,1716626927855000000,2
jps.modifiable.module.model.bridge.renaming.ms,1716626893192000000,1716626927855000000,0
jps.facet.change.listener.init.bridge.ms,1716626893192000000,1716626927855000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1716626893192000000,1716626927855000000,1
